Week of the month (first week, second, third, fourth or fifth week;Day of the week (Monday to Friday);Non-urgent order;Urgent order;Order type A;Order type B;Order type C;Fiscal sector orders;Orders from the traffic controller sector;Banking orders (1);Banking orders (2);Banking orders (3);Target (Total orders)
1;4;316307;223270;61543;175586;302448;0;65556;44914;188411;14793;539577
1;5;128633;96042;38058;56037;130580;0;40419;21399;89461;7679;224675
1;6;43651;84375;21826;25125;82461;1386;11992;3452;21305;14947;129412
2;2;171297;127667;41542;113294;162284;18156;49971;33703;69054;18423;317120
2;3;90532;113526;37679;56618;116220;6459;48534;19646;16411;20257;210517
2;4;110925;96360;30792;50704;125868;79;52042;8773;47522;24966;207364
2;5;144124;118919;43304;66371;153368;0;46573;33597;48269;20973;263043
2;6;119379;113870;38584;85961;124413;15709;35033;26278;56665;18502;248958
3;2;218856;124381;33973;148274;162044;1054;66612;19461;103376;10458;344291
3;3;146518;101045;36399;43306;168723;865;58224;7742;82395;11948;248428
3;4;178433;102793;45706;111036;124678;194;47046;17299;108719;15560;281420
3;5;145865;91180;43851;66277;133440;6523;66910;17768;36693;29046;243568
3;6;170566;114412;43339;136434;128405;23200;32529;34002;78153;31949;308178
4;2;220343;141406;46241;120865;196296;1653;34878;32905;117137;29188;363402
4;3;193768;141854;56519;136709;143644;1250;57858;23956;101048;30134;336872
4;4;122736;124256;56167;78101;112724;0;52321;10046;62799;24233;246992
4;5;144051;158408;51660;92272;164948;6421;47167;6440;91784;15973;308880
4;6;105415;108688;47717;71474;113935;19023;42737;26020;27873;17600;233126
5;2;240660;163720;59135;157681;187564;0;39273;32917;155617;9203;404380
1;3;131067;166649;90476;80509;127575;844;60543;19141;78378;73839;298560
1;4;130129;98927;42904;43962;142383;193;54760;9163;29874;46992;229249
1;5;123286;103551;47331;72444;116529;9467;48732;21196;47793;47574;236304
1;6;190816;87629;32077;127358;137739;18729;46368;36798;92701;31098;297174
2;2;266741;141437;58721;139034;211646;1223;58081;43333;135314;29716;409401
2;3;123143;106083;36017;75813;119205;1809;45340;22109;55584;29803;231035
2;4;148139;85310;35576;79997;123253;5377;59686;14188;67617;32319;238826
2;5;118552;100417;54401;75613;105584;16629;40423;24682;47563;35314;235598
2;6;146959;95153;37656;59907;144549;0;50908;45733;43930;28998;242112
3;2;299770;133375;57810;236248;196732;57645;71772;57756;159373;29160;490790
3;3;151341;131788;43359;89382;156916;6528;53573;42638;62732;32386;289657
3;4;206206;92160;45555;148718;104186;93;49110;36904;126632;33237;298459
3;5;170868;131463;45550;120548;157505;21272;42534;79556;50433;36483;323603
4;3;435304;181149;67884;267342;281227;0;64867;210508;177229;30514;616453
4;4;235106;110874;70376;154242;121417;55;23257;163452;63699;33805;346035
4;5;168179;125119;71068;100544;136033;14347;28072;95989;50763;55445;307645
4;6;172783;77371;64137;109062;80648;3693;46321;66498;61593;31625;253847
5;2;381768;140041;118178;260632;152134;9135;34236;194216;136035;47601;530944
5;3;221438;111392;51199;124660;157500;529;39964;136119;66745;31031;333359
5;4;193957;111859;47002;99892;159462;540;59179;94460;54772;34616;306356
1;6;275076;121697;109888;131165;175777;20057;37906;138536;85378;14020;416830
2;2;252298;150708;77388;154863;182936;12181;32133;69093;169088;12516;415187
2;3;165472;102530;46295;96870;124837;0;48458;43112;72840;11304;268002
2;4;126030;108055;53366;69150;111987;418;42201;13736;70191;16710;234503
2;5;112246;106641;47399;77610;109715;15837;35316;25876;38646;13989;234724
2;6;123302;94315;48081;72826;109157;12447;43284;30138;52112;12632;230064
3;2;187810;167455;59042;130098;168254;2129;37817;36445;103567;10443;357394
3;3;119863;139383;44809;99072;115365;0;54584;17242;59231;12543;259246
3;4;127805;114813;39025;110740;94470;1617;33366;21103;84558;16683;244235
3;5;120629;112703;39600;240922;122085;169275;37387;20246;63778;13886;402607
3;6;130465;105273;57467;88462;109132;19323;27200;41713;59513;12260;255061
4;2;222282;120324;41418;135189;165999;0;39446;29290;154144;10811;342606
4;3;150257;116959;34193;115536;118911;1424;51346;19782;89704;12182;268640
4;4;96494;87294;32653;81576;74372;4813;34631;22420;49644;15390;188601
4;5;89526;99756;51985;51930;98107;12740;31850;32150;21573;13807;202022
4;6;134425;79084;36748;71353;105408;0;33970;28701;65199;11023;213509
5;2;158716;158133;59131;92639;165079;0;32027;33282;128269;9287;316849
5;3;150784;133069;54224;115746;116442;2559;51235;34421;87708;11354;286412
5;4;193534;109639;58378;142382;102687;274;28364;88404;91367;15003;303447
5;5;196555;108395;76763;96478;131709;0;37011;109931;50112;12957;304950
5;6;192116;121106;107568;121152;103180;18678;27328;108072;56015;10690;331900
